INFO##2021-01-28 00:16:07,670##Server started
INFO##2021-01-28 00:16:20,862##Wakeup Request
INFO##2021-01-28 00:16:20,862##No socket
INFO##2021-01-28 00:16:27,678##New socket added
INFO##2021-01-28 00:16:32,970##Wakeup Request
INFO##2021-01-28 00:16:32,970##write to socket {"status":"open"}

INFO##2021-01-28 00:16:53,674##Emotion Request
INFO##2021-01-28 00:16:54,330##write to socket {"result":"Angry"}

INFO##2021-01-28 00:17:02,934##Emotion Request
INFO##2021-01-28 00:17:03,308##write to socket {"result":"Fearful"}

